id	name
17220001	根據地的門
17220002	根據地的門
17220003	根據地的門
17220004	根據地的門
17220005	根據地的門
17220006	根據地的門
17220007	根據地的門
17220008	根據地的門
17220009	根據地的門
17220010	根據地的門
17220011	根據地的門
17220012	根據地的門
17220013	根據地的門
17220014	根據地的門
17220015	競技場公告欄
17220016	競技場公告欄
17250001	村莊地圖告示板
17250002	村莊地圖告示板
17250003	村莊地圖告示板
18140001	村莊地圖告示板
18140002	村莊地圖告示板
18140003	村莊地圖告示板
19210001	外城門
19210002	外城門
19210003	城牆
19210004	城牆
19210005	內城門
19210006	內城門
19210007	門
19210008	門
19210009	門
19210010	王座
19210011	根據地的門
19210012	根據地的門
19210013	根據地的門
19210014	根據地的門
19210015	根據地的門
19210016	根據地的門
19210017	根據地的門
19210018	根據地的門
20180001	村莊地圖告示板
20180002	村莊地圖告示板
20210001	系統控制室
20210002	系統控制室
20210003	系統控制室
20220001	外城門
20220002	外城門
20220003	城牆
20220004	城牆
20220005	內城門
20220006	內城門
20220007	門
20220008	門
20220009	門
20220010	王座
20220011	根據地的門
20220012	根據地的門
20220013	根據地的門
20220014	根據地的門
20220015	根據地的門
20220016	根據地的門
20230001	競技場公告欄
20230002	競技場公告欄
21190001	村莊地圖告示板
21190002	村莊地圖告示板
21190003	村莊地圖告示板
21210001	門
21210002	門
21240001	門
21240002	門
21240003	門
21240004	門
21240005	門
21240006	大海盜的密室
22170001	鐵門
22170002	鐵門
22170003	門
22170004	門
22190001	外城門
22190002	外城門
22190003	城牆
22190004	城牆
22190005	內城門
22190006	內城門
22190007	門
22190008	門
22190009	門
22190010	王座
22220001	競技場公告欄
22220002	競技場公告欄
22250001	水壁
22250002	水壁
22250003	水壁
22250004	水壁
22250005	水壁
22250006	水壁
22250007	水壁
22250008	水壁
22250009	水壁
22250010	水壁
22250011	水壁
22250012	水壁
22250013	水壁
22250014	水壁
22250015	水壁
22250016	水壁
22250017	水壁
22250018	水壁
22250019	水壁
22250020	水壁
22250021	水壁
22250022	水壁
22250023	水壁
22250024	水壁
22250025	祕密的牆
22250026	祕密的牆
22250027	祕密的牆
22250028	祕密的牆
23120001	村莊地圖告示板
23120002	村莊地圖告示板
23120003	村莊地圖告示板
23180001	哈勒特的房間
23180002	哈勒特的房間
23180003	門
23180004	門
23180005	門
23180006	門
23220001	外城門
23220002	外城門
23220003	城牆
23220004	城牆
23220005	內城門
23220006	內城門
23220007	門
23220008	門
23220009	門
23220010	王座
23250001	外城門
23250002	外城門
23250003	城牆
23250004	城牆
23250005	內城門
23250006	內城門
23250007	門
23250008	門
23250009	門
23250010	王座
24180001	外城門
24180002	外城門
24180003	內城牆
24180004	大廳門
24180005	大廳門
24180006	城牆
24180007	門
24180008	門
24180009	門
24180010	門
24180011	城牆
24180012	內城門
24180013	內城門
24180014	內城門
24180015	內城門
24180016	門
24180017	王座
24180018	門
24180019	門
24180020	門
24180021	門
24190001	西門
24190002	西門
24190003	東門
24190004	東門
24180022	根據地的門
24180023	根據地的門
24180024	根據地的門
24180025	根據地的門
24180026	根據地的門
24180027	根據地的門
24180028	根據地的門
24180029	根據地的門
24180030	根據地的門
24180031	根據地的門
24180032	根據地的門
24180033	根據地的門
25170001	外城門
25170002	外城門
25170003	門
25170004	門
25170005	門
25170006	門
24160010	外城門
24160009	外城門
24160017	門
24160018	門
24160015	門
24160016	門
24160011	內城門
24160012	內城門
24160013	內城門
24160014	內城門
24160019	門
24160020	門
24160023	門
24160021	城牆
24160022	城牆
24160001	根據地的門
24160002	根據地的門
24160003	根據地的門
24160004	根據地的門
24160005	根據地的門
24160006	根據地的門
24160007	根據地的門
24160008	根據地的門
22220007	根據地的門
22220008	根據地的門
22220009	根據地的門
22220010	根據地的門
22220012	根據地的門
22220011	根據地的門
22220006	根據地的門
22220005	根據地的門
22220003	根據地的門
22220004	根據地的門
25150011	征服者陵墓入口
25150012	子爵禮拜堂之門
25150013	伯爵禮拜堂之門
25150014	侯爵禮拜堂之門
25150015	公爵禮拜堂之門
25150016	皇帝陵墓之門
25150001	統治者陵墓入口
25150002	子爵禮拜堂之門
25150003	伯爵禮拜堂之門
25150004	侯爵禮拜堂之門
25150005	公爵禮拜堂之門
25150006	皇帝陵墓之門
25150031	大賢者陵墓入口
25150032	子爵禮拜堂之門
25150033	伯爵禮拜堂之門
25150034	侯爵禮拜堂之門
25150035	公爵禮拜堂之門
25150036	皇帝陵墓之門
25150021	審判者陵墓入口
25150022	子爵禮拜堂之門
25150023	伯爵禮拜堂之門
25150024	侯爵禮拜堂之門
25150025	公爵禮拜堂之門
25150026	皇帝陵墓之門
24210004	門
24210005	門
24210006	門
24140007	門
24140008	門
24140003	根據地的門
24140004	根據地的門
24140001	根據地的門
24140002	根據地的門
24140005	根據地的門
24140006	根據地的門
24160024	王座
19160010	禮拜堂之門
19160011	禮拜堂之門
19160001	神殿之門
19160006	等候室之門
19160005	等候室之門
19160002	等候室之門
19160009	等候室之門
19160008	等候室之門
19160007	等候室之門
19160003	等候室之門
19160004	等候室之門
19160014	祭壇之門
19160015	祭壇之門
19160012	黑暗之門
19160013	黑暗之門
19160017	祭物之門
19160016	祭物之門
20160007	城牆
20160008	城牆
20160009	城牆
20160001	外城門
20160002	外城門
20160006	內城門
20160003	內城門
20160004	內城門
20160005	門
20160010	王座
21150002	門
21150001	門
21150003	門
21150004	根據地的門
21150005	護欄
21150006	護欄
21150007	護欄
21150008	護欄
21150009	護欄
21160002	根據地的門
21160001	根據地的門
21160004	根據地的門
21160003	根據地的門
21160006	根據地的門
21160005	根據地的門
21160008	根據地的門
21160007	根據地的門
21160010	根據地的門
21160009	根據地的門
21160012	根據地的門
21160011	根據地的門
21160014	根據地的門
21160013	根據地的門
21170002	外城門
21170001	外城門
21170003	門
21170004	門
21170006	門
21170005	門
22130002	外城門
22130001	外城門
22130011	門
22130010	門
22130015	門
22130014	門
22130007	內城門
22130006	內城門
22130009	內城門
22130008	內城門
22130003	門
22130013	門
22130012	門
22130005	城牆
22130004	城牆
22130016	王座
22130017	根據地的門
22130018	根據地的門
22130020	根據地的門
22130019	根據地的門
22130022	根據地的門
22130021	根據地的門
22130024	根據地的門
22130023	根據地的門
23140001	冰壁
23140002	冰壁
23150001	隱密的門
23150002	隱密的門
23150003	輝煌之門
23150004	輝煌之門
25150042	陵墓之門
25150043	陵墓之門
25150045	陵墓之門
25150046	陵墓之門
25150051	幻象之門
25150052	幻象之門
25150053	幻象之門
25150054	幻象之門
25150055	幻象之門
25150056	幻象之門
25150057	幻象之門
25150058	幻象之門
25150061	幻象之門
25150062	幻象之門
25150063	幻象之門
25150064	幻象之門
25150065	幻象之門
25150066	幻象之門
25150067	幻象之門
25150068	幻象之門
25150069	幻象之門
25150070	幻象之門
18200001	要塞之門
18200002	要塞之門
18200003	要塞之門
18200004	要塞之門
18200005	要塞之門
18200006	要塞之門
18200007	要塞之門
18200008	要塞之門
18200009	要塞之門
18200010	要塞之門
18200011	要塞之門
18200012	要塞之門
18220001	要塞之門
18220002	要塞之門
18220003	要塞之門
18220004	要塞之門
18220005	要塞之門
18220006	要塞之門
18220007	要塞之門
18220008	要塞之門
19240001	要塞之門
19240002	要塞之門
19240003	要塞之門
19240004	要塞之門
19240005	要塞之門
19240006	要塞之門
19240007	要塞之門
19240008	要塞之門
19240009	要塞之門
19240010	要塞之門
19240011	要塞之門
19240012	要塞之門
20200001	要塞之門
20200002	要塞之門
20200003	要塞之門
20200004	要塞之門
20200005	要塞之門
20200006	要塞之門
20200007	要塞之門
20200008	要塞之門
20220017	要塞之門
20220018	要塞之門
20220019	要塞之門
20220020	要塞之門
20220021	要塞之門
20220022	要塞之門
20220023	要塞之門
20220024	要塞之門
20220025	要塞之門
20220026	要塞之門
20220027	要塞之門
20220028	要塞之門
20230003	要塞之門
20230004	要塞之門
20230005	要塞之門
20230006	要塞之門
20230007	要塞之門
20230008	要塞之門
20230009	要塞之門
20230010	要塞之門
21220001	要塞之門
21220002	要塞之門
21220003	要塞之門
21220004	要塞之門
21220005	要塞之門
21220006	要塞之門
21220007	要塞之門
21220008	要塞之門
22150001	要塞之門
22150002	要塞之門
22150003	要塞之門
22150004	要塞之門
22150005	要塞之門
22150006	要塞之門
22150007	要塞之門
22150008	要塞之門
22160001	要塞之門
22160002	要塞之門
22160003	要塞之門
22160004	要塞之門
22160005	要塞之門
22160006	要塞之門
22160007	要塞之門
22160008	要塞之門
22160009	要塞之門
22160010	要塞之門
22160011	要塞之門
22160012	要塞之門
22180001	要塞之門
22180002	要塞之門
22180003	要塞之門
22180004	要塞之門
22180005	要塞之門
22180006	要塞之門
22180007	要塞之門
22180008	要塞之門
22200001	要塞之門
22200002	要塞之門
22200003	要塞之門
22200004	要塞之門
22200005	要塞之門
22200006	要塞之門
22200007	要塞之門
22200008	要塞之門
22200009	要塞之門
22200010	要塞之門
22200011	要塞之門
22200012	要塞之門
22230001	要塞之門
22230002	要塞之門
22230003	要塞之門
22230004	要塞之門
22230005	要塞之門
22230006	要塞之門
22230007	要塞之門
22230008	要塞之門
23130001	要塞之門
23130002	要塞之門
23130003	要塞之門
23130004	要塞之門
23130005	要塞之門
23130006	要塞之門
23130007	要塞之門
23130008	要塞之門
23160001	要塞之門
23160002	要塞之門
23160003	要塞之門
23160004	要塞之門
23160005	要塞之門
23160006	要塞之門
23160007	要塞之門
23160008	要塞之門
23170001	要塞之門
23170002	要塞之門
23170003	要塞之門
23170004	要塞之門
23170005	要塞之門
23170006	要塞之門
23170007	要塞之門
23170008	要塞之門
23170009	要塞之門
23170010	要塞之門
23170011	要塞之門
23170012	要塞之門
23200001	要塞之門
23200002	要塞之門
23200003	要塞之門
23200004	要塞之門
23200005	要塞之門
23200006	要塞之門
23200007	要塞之門
23200008	要塞之門
23200009	要塞之門
23200010	要塞之門
23200011	要塞之門
23200012	要塞之門
23210001	要塞之門
23210002	要塞之門
23210003	要塞之門
23210004	要塞之門
23210005	要塞之門
23210006	要塞之門
23210007	要塞之門
23210008	要塞之門
23210009	要塞之門
23210010	要塞之門
23210011	要塞之門
23210012	要塞之門
23240001	要塞之門
23240002	要塞之門
23240003	要塞之門
23240004	要塞之門
23240005	要塞之門
23240006	要塞之門
23240007	要塞之門
23240008	要塞之門
24150001	要塞之門
24150002	要塞之門
24150003	要塞之門
24150004	要塞之門
24150005	要塞之門
24150006	要塞之門
24150007	要塞之門
24150008	要塞之門
24150009	要塞之門
24150010	要塞之門
24150011	要塞之門
24150012	要塞之門
24190005	要塞之門
24190006	指揮幕舍之門
24190007	指揮幕舍之門
24190008	指揮幕舍之門
24190009	指揮幕舍之門
24190010	要塞之門
24190011	要塞之門
24190012	要塞之門
25190001	要塞之門
25190002	要塞之門
25190003	要塞之門
25190004	要塞之門
25190005	要塞之門
25190006	要塞之門
25190007	要塞之門
25190008	要塞之門
25190009	要塞之門
25190010	要塞之門
25190011	要塞之門
25190012	要塞之門
24170001	關口
16200001	戰士之門
16200002	闇天使之門
16200003	斯比裘拉之門
16200004	中間門
16200005	紀錄之門
16200006	凱特奈特之門
